역사명,역사도로명주소,,,,,,,,,,,,,
판암,대전광역시 동구 옥천로 지하162 (판암동),,,,,,,,,,,,,
신흥,대전광역시 동구 옥천로 지하 70 (판암동),,,,,,,,,,,,,
대동,대전광역시 동구 계족로 지하 176 (대동),,,,,,,,,,,,,
대전,대전광역시 동구 중앙로 지하 218 (중동),,,,,,,,,,,,,
중앙로,대전광역시 중구 중앙로 지하 145 (은행동),,,,,,,,,,,,,
중구청,대전광역시 중구 중앙로 지하 71 (선화동),,,,,,,,,,,,,
서대전네거리,대전광역시 중구 계룡로 지하 889(용두동),,,,,,,,,,,,,
오룡,대전광역시 중구 계룡로 지하 793(오류동),,,,,,,,,,,,,
용문,대전광역시 서구 계룡로 지하 644(용문동),,,,,,,,,,,,,
탄방,대전광역시 서구 문정로48번길 지하 19(탄방동),,,,,,,,,,,,,
시청,대전광역시 서구 둔산중로 지하 55(둔산동),,,,,,,,,,,,,
정부청사,대전광역시 서구 한밭대로 지하 744(둔산동),,,,,,,,,,,,,
갈마,대전광역시 서구 한밭대로 지하 666(갈마동),,,,,,,,,,,,,
월평,대전광역시 서구 한밭대로 지하 595(월평동),,,,,,,,,,,,,
갑천,대전광역시 서구 갑천도시고속도로 지하 1833(월평동),,,,,,,,,,,,,
유성온천,대전광역시 유성구 계룡로 지하 97(봉명동),,,,,,,,,,,,,
구암,대전광역시 유성구 유성대로 703(구암동),,,,,,,,,,,,,
현충원,대전광역시 유성구 현충원로 지하 455(구암동),,,,,,,,,,,,,
월드컵경기장,대전광역시 유성구 한밭대로 지하 155(노은동),,,,,,,,,,,,,
노은,대전광역시 유성구 노은로 지하 161(지족동),,,,,,,,,,,,,
지족,대전광역시 유성구 노은로 273(지족동),,,,,,,,,,,,,
반석,대전광역시 유성구 북유성대로 지하 303(반석동),,,,,,,,,,,,,
괘법르네시떼역,부산광역시 사상구 광장로 9번,,,,,,,,,,,,,
서부산유통지구역,부산광역시 강서구 유통단지 1로 57번길 7번,,,,,,,,,,,,,
공항역,부산광역시 강서구 공항진입로 165,,,,,,,,,,,,,
덕두역,부산광역시 강서구 경전철로 10,,,,,,,,,,,,,
등구역,부산광역시 강서구 낙동북로 294,,,,,,,,,,,,,
대저역,부산광역시 강서구 낙동북로 294,,,,,,,,,,,,,
평강역,부산광역시 강서구 낙동북로203,,,,,,,,,,,,,
대사역,부산광역시 강서구 낙동북로 82,,,,,,,,,,,,,
불암역,경상남도 김해시 김해대로 2787,,,,,,,,,,,,,
지내역,경상남도 김해시 김해대로 2718,,,,,,,,,,,,,
김해대학역,경상남도 김해시 김해대로 2641,,,,,,,,,,,,,
인제대역,경상남도 김해시 김해대로 2515,,,,,,,,,,,,,
김해시청역,경상남도 김해시 김해대로 2408,,,,,,,,,,,,,
부원역,경상남도 김해시 김해대로 2350,,,,,,,,,,,,,
봉황역,경상남도 김해시 김해대로 2249,,,,,,,,,,,,,
수로왕릉역,경상남도 김해시 김해대로 2181,,,,,,,,,,,,,
박물관역,경상남도 김해시 김해대로 2103,,,,,,,,,,,,,
연지공원역,경상남도 김해시 해반천로 5,,,,,,,,,,,,,
장신대역,경상남도 김해시 해반천로 129,,,,,,,,,,,,,
가야대역,경상남도 김해시 해반천로 211,,,,,,,,,,,,,
사상역,부산광역시 사상구 광장로 83,,,,,,,,,,,,,
안평역,부산광역시 기장군 철마면 반송로 1101,,,,,,,,,,,,,
고촌역,부산광역시 기장군 철마면 반송로 991,,,,,,,,,,,,,
동부산대학역,부산광역시 해운대구 반송로 917,,,,,,,,,,,,,
영산대역,부산광역시 해운대구 반송로 803,,,,,,,,,,,,,
석대역,부산광역시 해운대구 석대천로 121,,,,,,,,,,,,,
반여농산물시장역,부산광역시 해운대구 반송로 550,,,,,,,,,,,,,
금사역,부산광역시 금정구 반송로 지하 465,,,,,,,,,,,,,
서동역,부산광역시 금정구 반송로 지하 387,,,,,,,,,,,,,
명장역,부산광역시 동래구 반송로 지하 281,,,,,,,,,,,,,
충렬사역,부산광역시 동래구 반송로 지하 205,,,,,,,,,,,,,
낙민역,부산광역시 동래구 충렬대로 지하 285,,,,,,,,,,,,,
수안역,부산광역시 동래구 충렬대로 지하 223,,,,,,,,,,,,,
동래역(4호선),부산광역시 동래구 충렬대로 지하 147,,,,,,,,,,,,,
미남역(4호선),부산광역시 동래구 아시아드대로 지하 232,,,,,,,,,,,,,
대저역,부산광역시 강서구 낙동북로 295,,,,,,,,,,,,,
체육공원역,부산광역시 강서구 낙동북로 371,,,,,,,,,,,,,
강서구청역,부산광역시 강서구 낙동북로 485,,,,,,,,,,,,,
구포역,부산광역시 북구 낙동대로 1697,,,,,,,,,,,,,
덕천역(3호선),부산광역시 북구 금곡대로 지하 14,,,,,,,,,,,,,
숙등역,부산광역시 북구 만덕대로 지하 79,,,,,,,,,,,,,
남산정역,부산광역시 북구 만덕대로 지하 179,,,,,,,,,,,,,
만덕역,부산광역시 북구 만덕대로 지하 291,,,,,,,,,,,,,
미남역(3호선),부산광역시 동래구 아시아드대로 지하 232,,,,,,,,,,,,,
사직역,부산광역시 동래구 아시아드대로 지하 153,,,,,,,,,,,,,
종합운동장역,부산광역시 연제구 아시아드대로 지하 73,,,,,,,,,,,,,
거제역,부산광역시 연제구 월드컵대로 지하 209,,,,,,,,,,,,,
연산역(3호선),부산광역시 연제구 중앙대로 지하 1101,,,,,,,,,,,,,
물만골역,부산광역시 연제구 월드컵대로 지하 23,,,,,,,,,,,,,
배산역,부산광역시 연제구 연수로 지하 229,,,,,,,,,,,,,
망미역,부산광역시 수영구 연수로 지하 337,,,,,,,,,,,,,
수영역(3호선),부산광역시 수영구 수영로 지하 677,,,,,,,,,,,,,
양산역,경상남도 양산시 강변로 441,,,,,,,,,,,,,
남양산역,경상남도 양산시 동면 메기로 380,,,,,,,,,,,,,
부산대양산캠퍼스역,경상남도 양산시 물금읍 메기로 270,,,,,,,,,,,,,
증산역,경상남도 양산시 물금읍 메기로 168,,,,,,,,,,,,,
호포역,경상남도 양산시 동면 양산대로 62,,,,,,,,,,,,,
금곡역,부산광역시 북구 금곡대로 685,,,,,,,,,,,,,
동원역,부산광역시 북구 금곡대로 575,,,,,,,,,,,,,
율리역,부산광역시 북구 금곡대로 지하 440,,,,,,,,,,,,,
화명역,부산광역시 북구 금곡대로 지하 311,,,,,,,,,,,,,
수정역,부산광역시 북구 금곡대로 지하 160,,,,,,,,,,,,,
덕천역(2호선),부산광역시 북구 금곡대로 지하 14,,,,,,,,,,,,,
구명역,부산광역시 북구 백양대로 지하 1094,,,,,,,,,,,,,
구남역,부산광역시 북구 백양대로 지하 1026,,,,,,,,,,,,,
모라역,부산광역시 사상구 사상로 지하 498,,,,,,,,,,,,,
모덕역,부산광역시 사상구 사상로 지하 409,,,,,,,,,,,,,
