"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210331"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 구로구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 구로구 가리봉동","139","0139","0000","효성","84.87","202103","13","56,500","4","1998","남부순환로 1299",""
"서울특별시 구로구 가리봉동","139","0139","0000","효성","59.94","202103","13","42,000","15","1998","남부순환로 1299",""
"서울특별시 구로구 개봉동","491","0491","0000","LIP e-푸른아파트","83.02","202101","29","46,000","6","2014","개봉로17아길 41-13",""
"서울특별시 구로구 개봉동","491","0491","0000","LIP e-푸른아파트","83.02","202101","30","49,000","6","2014","개봉로17아길 41-13",""
"서울특별시 구로구 개봉동","489","0489","0000","개봉동현대아이파크","59.99","202101","3","79,500","12","2006","개봉로2길 133-15",""
"서울특별시 구로구 개봉동","489","0489","0000","개봉동현대아이파크","117.74","202101","30","103,250","11","2006","개봉로2길 133-15",""
"서울특별시 구로구 개봉동","489","0489","0000","개봉동현대아이파크","84.98","202102","10","93,000","11","2006","개봉로2길 133-15",""
"서울특별시 구로구 개봉동","489","0489","0000","개봉동현대아이파크","59.99","202102","27","78,900","4","2006","개봉로2길 133-15",""
"서울특별시 구로구 개봉동","489","0489","0000","개봉동현대아이파크","84.98","202102","27","93,000","20","2006","개봉로2길 133-15",""
"서울특별시 구로구 개봉동","489","0489","0000","개봉동현대아이파크","59.99","202102","27","77,000","2","2006","개봉로2길 133-15",""
